domain,source,ml_probability,dns_resolves,http_status,looks_legit,legit_indicators
dachenyouzhi.com,certificates,0.9322113394737244,False,,,
gbpgy.cn,phishtank,0.9640609622001648,True,503.0,,
hlsjew.com,jpcert,0.7702118754386902,True,503.0,,
gfgl2jdu.top,certificates,0.8962132334709167,True,503.0,,
fsfglighting.com,jpcert,0.9241797924041748,True,503.0,,
support-web3-recover.com,phishtank,0.7393484115600586,True,503.0,,
hltsports.com,certificates,0.9640587568283081,False,,,
crm.nextloop.net,jpcert,0.971872091293335,True,200.0,unknown,
aysmdf.com,jpcert,0.724597156047821,True,503.0,,
jcbother.cc,certificates,0.9803714156150818,False,,,
