domain,source,ml_probability,dns_resolves,http_status,content_length,looks_legit,legit_indicators,phish_indicators
modernreg.org,phishtank,0.010580467991530895,False,,0,,,
infinitoradio.com.ar,jpcert,0.033530402928590775,True,200.0,96496,unknown,copyright,
eyouchina.com,phishtank,0.05904601514339447,True,503.0,6807,,,
millandfeed.company,jpcert,0.08632972091436386,False,,0,,,
s-esu.co.jp,jpcert,0.1905369907617569,True,200.0,6168,True,contact|copyright|company,
res-prontos.kyiv.ua,phishtank,0.08967570960521698,False,,0,,,
tintasweb.com.br,jpcert,0.08176494389772415,False,,0,,,
arazimai.co.il,phishtank,0.055217307060956955,False,,0,,,
isintosuccess.com,phishtank,0.006881906185299158,True,503.0,6811,,,
arvinhe.club,jpcert,0.15981590747833252,False,,0,,,
iqtaste.com,jpcert,0.06562463939189911,True,503.0,6805,,,
zenritsusen-care.com,jpcert,0.14118368923664093,True,503.0,6814,,,
mamoruke.com,jpcert,0.04222393035888672,True,503.0,6806,,,
miamigojesus.edu.pe,phishtank,0.056436989456415176,True,503.0,6813,,,
mizuha-bask.com,certificates,0.22532105445861816,False,,0,,,
sb1-sec-arpente.com,phishtank,0.11781720817089081,True,503.0,6813,,,
ncarecameroon.org,phishtank,0.01903868280351162,True,200.0,161545,True,about us|contact|privacy policy|copyright,
megasolucoes.pt,jpcert,0.04124492034316063,True,200.0,5473,unknown,contact,
aasthaprinters.com,certificates,0.07058876007795334,True,503.0,6812,,,
tbmalaga.com,certificates,0.010719663463532925,False,,0,,,
westbudapestestate.hu,phishtank,0.02992248721420765,True,503.0,6815,,,
42dosz2.lat,phishtank,0.035447150468826294,False,,0,,,
tandtek.dk,phishtank,0.02862849272787571,True,503.0,6804,,,
hbib.co.za,jpcert,0.036495886743068695,True,503.0,6804,,,
ceoyz.cn,jpcert,0.058986254036426544,True,503.0,6802,,,
casesol.com,jpcert,0.12601082026958466,False,,0,,,
cosmicnest.in,phishtank,0.02031577005982399,True,503.0,6807,,,
antelys.com,certificates,0.07236194610595703,False,,0,,,
corporatevideographychicago.net,jpcert,0.024674663320183754,True,200.0,114,,,
eki.rvsaqkdik.co,jpcert,0.25027358531951904,False,,0,,,
divinajoias.com,certificates,0.0030893292278051376,True,404.0,20725,,,
zhihuiganzhi.com,certificates,0.03279286250472069,True,503.0,6810,,,
chitarabe.jp,jpcert,0.05161792412400246,True,503.0,6806,,,
nozominosato-nagashima.com,jpcert,0.07100953161716461,True,200.0,16864,True,contact|copyright|company,
isikserradyator.com,jpcert,0.046794064342975616,True,200.0,139486,True,contact|copyright,
hablw.cn,certificates,0.14715759456157684,True,503.0,6802,,,
i-get.jp,jpcert,0.07510928064584732,True,200.0,57395,True,copyright|会社概要|お問い合わせ,
applei.jp,jpcert,0.05706952139735222,False,,0,,,
